Year,Country Code,Country Name,life_expatancy,life_expatancy_male,life_expatancy_female,ratio_mort_neonatal,ratio_mort_one_year,ratio_mort_five_year,ratio_maternal_mort,ratio_mort_in_year,ratio_poblation_0_14_year,ratio_poblation_15_64_year,ratio_poblation_more_64_year,ratio_population_growth,ratio_mortality_CVD_cancer_diabetes_CRD,ratio_infectious_diseases,porc_prev_malnutrition,doctor_1000_people,bed_1000_people,porc_water_service,porc_sanitation_services,porc_electricity,porc_internet,porc_secundary_school_compl,porc_literacy,porc_unemployment,porc_below_poverty_line,PIB_growth_per_capita
2019,DMA,Dominica,73.559,70.355,77.205,27.7,27.7,35.2,,8.369,20.3820630565045,70.4618636949096,9.15607324858599,0.850614263332306,,,6.5,,,,,100,73.38194848,,,,,4.60887025308973
1996,CUB,Cuba,74.903,72.656,77.361,5.1,5.1,10.4,,7.314,22.0063365687828,68.7859589195725,9.20770451164463,0.331918454121758,,,,5.4966,5.4966,5.4966,,,0.031949001,66.950569152832,,7.61,,7.48140632049213
2008,AUS,Australia,81.3951219512195,,,,,,,,,,,,,,,,,,,,,,,,,
1991,HND,Honduras,65.752,63.68,67.99,20.9,20.9,55.6,,6.736,45.9673891343617,50.8485415549211,3.18406931071723,2.80313581156353,,,,0.411,0.411,0.411,,54.781937,0,24.6612892150879,,4.58,,-5.99176818348747
1996,HTI,Haití,56.154,54.647,57.638,32.4,32.4,119.7,,11.648,41.5923313965658,54.7031767908075,3.70449181262667,1.861046656428,,,,,,,,30.0130176544189,0.007484253,,,7.325,,2.22058814061666
1995,JAM,Jamaica,71.549,70.224,72.837,16.8,16.8,24.2,,7.066,35.4850536309483,58.0954517704031,6.41949459864859,1.00890923271719,,,,0.57,0.57,0.57,,80.4382934570313,0.109487986,,,7.106,27.5,1.32253049098085
1998,AUS,Australia,78.6317073170732,75.9,81.5,3.6,3.6,6.4,,6.8,21.0604270036659,66.7310166341543,12.2085563621798,0.996734717801419,,,,2.404,2.404,2.404,,100,30.81323944,,,7.68,,3.57581858683417
2019,VCT,San Vicente y las Granadinas,72.835,70.533,75.58,9.1,9.1,14.6,65,10.1,22.4978198401693,67.0173983902557,10.484781769575,-0.339668745500942,20.7,13.1084180064473,6.6,,,,,100,73.96834305,,,19.09,,0.745631296958905
1990,ARG,Argentina,71.784,68.552,74.963,15,15,28.8,,7.743,30.4039445969413,60.8964173025107,8.69963810054806,1.45640251463185,,,,2.68,2.68,2.68,,92.1548004150391,0,,,,,-3.87738988305726
2013,GRD,Granada,75.116,72.514,77.903,10,10,15.9,25,7.335,24.1789908888404,66.7372129514428,9.08379615971679,0.887245628443614,23.2,,,,,,91.49389213,90.4349060058594,35,108.319557189941,,,,1.4473269731125
2009,BOL,Bolivia,65.88,,,,,,,,,,,,,,,,,,,,,,,,,
2012,BLZ,Belice,73.245,70.714,76.13,10.8,10.8,17.7,28,4.457,33.9182457670615,62.025639428112,4.05611480482645,2.25663156677437,16.3,,6.8,1.145,1.145,1.145,86.25785653,90.9959182739258,31,64.2475967407227,,8.308,,1.54089715988582
1997,WSM,Samoa,69.875,67.146,73.057,9.8,9.8,23.7,,5.353,40.666840293822,55.1406239935926,4.19253571258545,1.03025209235978,,,,,,,,85.5419082641602,0.174571863,100.624397277832,,3.909,,-0.388133039161701
1991,VCT,San Vicente y las Granadinas,72.937,70.233,75.677,12.5,12.5,23.2,,5.682,36.9564639120411,56.5521369037063,6.49139918425253,0.260135896717429,,,,0.135,0.135,0.135,,66.8,0,,,19.77,,0.872827152060097
1985,SLB,Islas Salomón,64.29,61.761,67.735,,,43.7,,7.151,46.7252374552375,50.074235768471,3.20052677629146,3.3925439742175,,,,,,,,,,,,,,-6.36348229488468
2022,PAN,Panamá,,,,,,,,,,,,,,,,,,,,,,,,8.789,,
1992,COL,Colombia,69.038,64.86,73.533,17.2,17.2,33.2,,5.78,35.761569442199,60.2417646533834,3.99666590441762,1.98308677402728,,,,0.9039,0.9039,0.9039,,92.1326599121094,0,,,9.44,,2.00195216099661
2011,TON,Tonga,70.381,67.63,73.424,5.4,5.4,12.9,93,6.624,37.4075949837609,56.7630482155552,5.82935680068395,0.212099021808403,26.2,,,,,,93.27918197,92.1754531860352,25,,99.3855285644531,1.453,,6.59195572220257
2010,BLZ,Belice,72.272,69.588,75.37,10.2,10.2,18.9,33,4.66,35.4503867509659,60.5690974879427,3.98051576109144,2.49432602566338,17.1,19.1167287666923,6.5,,,,85.62770732,89.9172210693359,28.2,60.202808380127,,8.244,,-1.23807601673238
2016,BHS,Bahamas,73.537,70.067,76.938,7.4,7.4,13.8,79,6.717,22.645788323297,70.1247422511184,7.2294694255846,0.831528122187361,19.5,,,,,,94.93058233,100,80,,,12.7,,-1.67864265759144
1990,CRI,Costa Rica,76.63,74.604,78.767,9,9,16.9,,3.758,35.6123883025856,59.5286762129766,4.85893548443784,2.54138328976122,,,,1.26,1.26,1.26,,,0,28.0680408477783,,,27.1,0.954542164963982
2005,NIC,Nicaragua,67.936,,,,,,,,,,,,,,,,,,,,,,,,,
2010,BOL,Bolivia,66.162,63.821,68.688,21.9,21.9,41.9,184,7.66,34.8456919775029,60.3542682700481,4.80003975244906,1.69628237644672,18,26.0196477484005,20.4,0.4385,0.4385,0.4385,48.10902933,87.8863143920898,22.4,87.2990112304688,,2.614,,2.37533557597251
1999,JAM,Jamaica,70.968,69.132,72.807,17.2,17.2,21.5,,6.979,33.987155806762,60.0206912184227,5.99215297481522,0.761829204738964,,,,,,,,84.554112,2.355688556,,79.9201202392578,6.993,16.9,0.280788069544968
2014,NIC,Nicaragua,72.812,69.77,75.822,12.2,12.2,19.8,81,4.597,32.5054675510099,63.2093914394463,4.28514100954382,1.44870479177075,16,,19.7,0.8946,0.8946,0.8946,70.87443679,81.8530731201172,17.6,,,4.52,29.6,3.27872206107587
1988,NRU,Nauru,61.38,59.159,65.776,,,74.1,,8.611,36.9873642207936,60.2970516515185,2.71558412768787,2.95842958052523,,,,,,,,,,,,,,
1996,CRI,Costa Rica,76.804,74.657,79.063,8.3,8.3,14.7,,4.019,33.381698217346,61.1818882489469,5.43641353370709,2.30683799579665,,,,0.864,0.864,0.864,,,0.84105704,31.2799892425537,,6.16,21.5,-0.960770709201825
2020,PER,Perú,73.665,70.808,76.816,7.3,7.3,14.5,69,7.327,26.6748703998912,65.0725950371773,8.25253456293149,1.45140240084226,,,8.3,,,,78.57670211,99.3118133544922,65.25179796,,94.497932434082,7.18,30.1,-12.2357995967366
2019,GUY,Guyana,69.124,65.806,72.658,17.9,17.9,29.4,110,7.444,28.7798606077223,65.3721488369997,5.84799055527804,1.67134809737405,29.2,17.4113260046723,5,,,,85.77491899,91.9157562255859,78.63994332,,,13.52,,3.6064512807903
1992,CRI,Costa Rica,76.627,74.668,78.68,8.8,8.8,15.7,,3.865,35.1399987868533,59.8083890450142,5.0516121681325,2.51561993414361,,,,,,,,,0.001113325,31.2748699188232,,3.93,29.4,6.48828417558154
1990,VEN,Venezuela,71.532,69.293,73.857,12.8,12.8,29.6,,4.753,38.0307964642454,58.0648597694275,3.90434376632705,2.43587388815233,,,,1.564,1.564,1.564,,,0,41.4931983947754,89.8252487182617,,,3.90584744788616
2003,ARG,Argentina,74.08,,,,,,,,,,,,,,,,,,,,,,,,,
2005,JAM,Jamaica,71.044,,,,,,,,,,,,,,,,,,,,,,,,,
2001,MEX,México,73.867,,,,,,,,,,,,,,,,,,,,,,,,,
2006,NRU,Nauru,58.379,,,,,,,,,,,,,,,,,,,,,,,,,
2000,SLV,El Salvador,69.865,,,,,,,,,,,,,,,,,,,,,,,,,
2011,GUY,Guyana,66.982,63.766,70.518,22.4,22.4,36.6,142,7.455,31.6496916275882,63.6654663208954,4.68484205151633,-0.49619379069059,32.8,,8.6,,,,83.68271081,84.0845413208008,30,,,12.058,,5.71952598277396
1989,LCA,Santa Lucía,70.215,67.912,72.421,12.5,12.5,22.5,,6.054,40.6997896145782,53.8063386172943,5.4938717681275,1.28764985945875,,,,,,,,,,,,,,7.58670655657203
1999,PER,Perú,69.743,67.298,72.309,17.5,17.5,41.4,,5.904,35.1405601034533,60.3141743392978,4.54526555724893,1.6670604009319,,,,1.1427,1.1427,1.1427,,74.078523,1.952497608,,,4.92,47.5,-0.183045688672124
2016,VUT,Vanuatu,69.65,67.652,72.126,11.4,11.4,26.7,94,5.921,39.7402354370132,56.5310114470125,3.72875311597427,2.42303547677723,39.9,,11.2,0.1653,0.1653,0.1653,53.14822067,57.8199996948242,24,,,1.749,,2.18259585262859
2013,PER,Perú,74.967,72.948,77.083,8.7,8.7,17.6,71,6.681,28.9463090896846,63.3730568345769,7.68063407573849,0.967486220265649,10.9,,5.7,,,,73.65533795,92.135368347168,39.2,87.3548736572266,,3.57,23.9,4.83334779976734
2008,PER,Perú,73.377,,,,,,,,,,,,,,,,,,,,,,,,,
2004,URY,Uruguay,76.007,,,,,,,,,,,,,,,,,,,,,,,,,
2005,USA,Estados Unidos,77.4878048780488,,,,,,,,,,,,,,,,,,,,,,,,,
1997,NRU,Nauru,59.644,56.891,63.782,27.1,27.1,47.9,,7.758,40.4632086851628,57.7177322074789,1.81905910735826,0.173845900457398,,,,,,,,99.2701797485352,,,,,,
1993,BOL,Bolivia,58.418,56.805,60.044,37.8,37.8,107.4,,10.736,40.2193137414153,55.8022588277522,3.97842743083245,2.00918364775402,,,,0.426,0.426,0.426,,61.3840293884277,0,62.7773818969727,,3.089,,2.19524003830136
1990,BHS,Bahamas,70.133,66.845,73.383,13.8,13.8,23.5,,5.855,31.7935635937771,63.5841716572028,4.62226474902006,1.93451419718874,,,,1.29,1.29,1.29,,100,0,,,,,-3.48158874118411
1988,DMA,Dominica,71.364,68.356,74.479,10.4,10.4,17.1,,8.55,33.1294879717031,58.247213995014,8.6232980332829,-0.582134004692951,,,,,,,,,,90.4490814208984,,,,8.44609063308232
1985,COL,Colombia,66.276,63.477,69.186,20.3,20.3,43.6,,6.532,37.7243473549704,58.6172334729562,3.65841917207341,2.19684709234321,,,,,,,,,,37.7680015563965,,,,0.866699984133177
1994,ARG,Argentina,73.172,70.18,76.049,14.2,14.2,25.4,,7.403,29.5108852477345,61.244388596194,9.24472615607154,1.34702378575008,,,,,,,,93.5012741088867,0.043705951,,,11.76,,4.42012078486435
2021,TON,Tonga,70.986,68.416,73.719,4.9,4.9,11.1,,6.97,34.6199194468812,59.1782449984436,6.20183555467519,0.722298202056167,,,,,,,,,71.58657964,,99.4000015258789,2.669,,-3.36800414054153
2018,PRY,Paraguay,73.568,70.946,76.342,10.7,10.7,20,70,5.569,29.6556996632796,64.4229270960597,5.92137324066073,1.37397022115058,16.2,,7.8,1.3544,1.3544,1.3544,90.73172627,99.5999984741211,64.99354302,,94.0207977294922,6.22,24.2,1.79595163131663
1985,GUY,Guyana,61.66,59.074,64.502,31.1,31.1,66.7,,8.533,38.7032126221898,57.5574856568967,3.73930172091356,-0.430819726222632,,,,0.168,0.168,0.168,,,,,,,,2.84177708900832
1993,BRA,Brasil,67.109,64.19,70.18,23.7,23.7,54.3,,6.855,33.7897202978714,61.4462278121097,4.76405189001891,1.61616519320128,,,,1.1672,1.1672,1.1672,,89.999927,0.025498253,,,6.03,,3.24256327215463
1985,PAN,Panamá,70.732,68.133,73.648,20.8,20.8,36.8,,5.439,38.2350317355199,57.4903564528132,4.27461181166693,2.27821488840633,,,,1.006,1.006,1.006,,,,56.9444389343262,,,,2.57845230736157
2021,HND,Honduras,70.123,67.894,72.534,9.5,9.5,16.6,,5.608,30.5734517291718,65.2286644771768,4.19788379365142,1.5351396675707,,,,,,,,,48.08351858,,,7.947,,10.8197330689822
1998,MEX,México,72.845,69.717,76.082,16.2,16.2,31,,5.086,35.1078087501811,60.1154911218333,4.77670012798562,1.68579338254176,,,,1.7066,1.7066,1.7066,,96.092755,1.265783278,,,3.73,,3.40593832291518
1987,ECU,Ecuador,67.3,64.625,70.098,24.7,24.7,62.5,,6.345,39.7323754232736,56.4784810700337,3.7891435066927,2.49010341073397,,,,,,,,,,,,,,-2.71208262644195
2000,CHL,Chile,76.87,,,,,,,,,,,,,,,,,,,,,,,,,
2000,PRY,Paraguay,69.75,,,,,,,,,,,,,,,,,,,,,,,,,
2008,TON,Tonga,70.164,,,,,,,,,,,,,,,,,,,,,,,,,
2004,TTO,Trinidad y Tobago,71.076,,,,,,,,,,,,,,,,,,,,,,,,,
1991,COL,Colombia,68.813,64.652,73.296,17.7,17.7,34.4,,5.818,36.0343243105763,60.0285865611305,3.93708912829322,2.03800594708786,,,,0.8463,0.8463,0.8463,,91.8366546630859,0,,,10.12,,-0.0561513837121907
2014,CUB,Cuba,77.853,75.644,80.166,2.4,2.4,5.8,41,8.833,16.9083533694681,69.2118911481495,13.8797554823824,0.0922325673162479,16.6,,2.5,7.5673,7.5673,7.5673,90.07813994,98.4239883422852,29.07018437,92.530158996582,,2.7,,0.954420824338413
1997,SLV,El Salvador,67.895,63.149,72.559,17.4,17.4,39.7,,6.14,38.6446156684703,57.1728387074469,4.18254562408282,0.781771468899008,,,,1.071,1.071,1.071,,80.0315170288086,0.256960679,,,7.98,,2.33481037028606
1988,HND,Honduras,64.345,62.428,66.414,23.6,23.6,64.3,,7.685,46.6191841991229,50.0401884467189,3.34062735415821,2.80967440679007,,,,0.829,0.829,0.829,,,,,,,,-1.07291143010873
1987,SLV,El Salvador,59.669,54.005,65.725,24.5,24.5,71,,9.151,42.3723456741396,54.664489264288,2.96316506157247,1.92100179537841,,,,,,,,,,37.3347702026367,,,,0.557778936390335
1986,CAN,Canadá,76.4639024390244,73.22,79.87,4.9,4.9,9.4,,7.2,21.0620885507625,68.4715017048315,10.466409744406,0.994040150630969,,,,2,2,2,,,,,,,,
1995,HND,Honduras,67.139,65.064,69.362,19.1,19.1,46.5,,5.898,44.6788024046457,52.2751003534164,3.04609724193794,2.78931851535589,,,,0.65,0.65,0.65,,66.122022,0.036775252,,,3.24,,3.26827442629836
2014,TTO,Trinidad y Tobago,74.215,70.963,77.407,12.9,12.9,20.2,35,6.739,20.5290898424925,71.4258879228159,8.04502223469163,0.687007914129209,19.8,,6.6,,,,93.45693815,100,62.4,,,2.48,,2.61554034627196
2018,FSM,Micronesia (Estados Federados de),71.318,67.92,74.955,14.3,14.3,27.3,69,5.472,31.9582796202977,63.1363304456003,4.90538993410199,0.450852095694507,46.1,,,,,,88.30933155,79.7029113769531,,86.8929977416992,,,,-0.239135779985418
1992,CAN,Canadá,77.8380487804878,74.76,81.07,4.2,4.2,7.7,,6.9,20.6959958448746,67.7645005410591,11.5395036140662,1.18367554138942,,,,2.1,2.1,2.1,,100,0.91598104,,,11.2,,
1991,CUB,Cuba,74.093,71.984,76.408,6.7,6.7,12.9,,6.962,22.4250528196687,68.9666105770757,8.60833660325568,0.816593021196379,,,,3.9944,3.9944,3.9944,,,0,84.6974411010742,,7.904,,-11.4190047864226
2013,CRI,Costa Rica,79.403,77.112,81.762,6.4,6.4,9.6,23,4.62,23.3792824220213,68.4354074425001,8.1853101354785,1.1532718484809,10.1,,4.9,2.5421,2.5421,2.5421,96.64089437,99.5635147094727,45.96,55.7898597717285,,8.22,23.3,1.31951278728171
1985,DMA,Dominica,71.255,69.925,72.449,11.2,11.2,18.9,,8.097,34.7794204943048,57.1153214936693,8.10525801202589,-0.47376283469177,,,,,,,,,,,,,,1.90256790705024
2002,BLZ,Belice,68.752,,,,,,,,,,,,,,,,,,,,,,,,,
2005,BOL,Bolivia,64.386,,,,,,,,,,,,,,,,,,,,,,,,,
2021,SUR,Suriname,70.274,67.207,73.551,10.7,10.7,17.2,,8.667,26.481664707672,66.2521646142766,7.2661706780514,0.970459647008266,,,,,,,,,65.93980141,44.687931060791,95,9.078,,-3.66902298305844
2019,HND,Honduras,72.881,70.534,75.37,10.2,10.2,17.8,67,4.315,31.6115579452163,64.3816557147432,4.00678634004058,1.68069668453135,18.7,10.683423692717,13.3,,,,82.84438013,91.0999984741211,39.38835219,,88.5074310302734,5.55,48,0.942197107044706
2015,BLZ,Belice,73.187,70.357,76.486,10.2,10.2,15.3,49,4.7,31.7736077650047,63.9524996457064,4.27389258928894,2.11632063401839,16.4,19.4678336797473,7.8,,,,87.21298382,91.8000030517578,41.59,67.9846420288086,,7.58,,1.20302852831588
2016,JAM,Jamaica,72.02,70.121,73.917,12.2,12.2,14.6,98,6.971,22.8462385585591,70.7563308250932,6.39743061634773,0.294793625837463,16.7,,9.3,0.4549,0.4549,0.4549,86.07016642,96.7379837036133,44.36685637,88.6562118530273,,8.63,,1.07681542813329
1988,SUR,Suriname,63.437,60.368,66.776,,,48.2,,8.014,37.0176269677562,59.4336045078884,3.54876852435535,1.31965880347574,,,,,,,,,,,,,,6.38675333568601
2002,FSM,Micronesia (Estados Federados de),69.46,,,,,,,,,,,,,,,,,,,,,,,,,
2006,PER,Perú,73.172,,,,,,,,,,,,,,,,,,,,,,,,,
1991,SLB,Islas Salomón,65.579,63.166,68.703,14.6,14.6,37.2,,6.461,45.0547607818477,51.7907486843189,3.1544905338334,2.97261157298081,,,,,,,,,0,,,1.398,,2.89540563778226
1991,TTO,Trinidad y Tobago,68.859,66.342,71.399,19.2,19.2,29.8,,6.443,33.6075406825134,61.4557867584374,4.9366725590492,0.763431535012362,,,,0.732,0.732,0.732,,,0,,,18.52,,2.32821243396255
1988,HTI,Haití,52.632,51.365,53.853,43,43,153.2,,14.401,41.8374408452,54.1642353124951,3.99832384230483,2.07727078684654,,,,0.143,0.143,0.143,,,,17.5370903015137,,,,-1.85953776294431
1996,ECU,Ecuador,71.362,68.277,74.541,18.1,18.1,38.2,,5.275,36.8176598631287,58.6814396654874,4.50090047138391,1.83009674212617,,,,1.3149,1.3149,1.3149,,92.0513763427734,0.086161276,,,4.683,,-0.113109061948791
1988,ECU,Ecuador,68.056,65.244,71,23.7,23.7,59.5,,6.073,39.3766266332156,56.77663139761,3.84674196917437,2.44095573667987,,,,,,,,,,,,,,3.33701890954217
2020,BLZ,Belice,72.854,69.564,76.626,7.8,7.8,11.7,130,5.244,28.7764246221708,66.4179246202717,4.80565075755753,1.48622151575632,,,7.4,,,,88.21427557,97.1133346557617,59.50638944,69.4646682739258,,10.788,,-14.6804661413714
1996,BHS,Bahamas,70.71,67.409,73.989,9.1,9.1,17.7,,5.985,31.105080632599,64.1709230731391,4.72399629426184,1.77973785406505,,,,1.518,1.518,1.518,,100,1.746950698,,,11.46,,2.38503354186498
2003,CHL,Chile,77.387,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CUB,Cuba,77.307,,,,,,,,,,,,,,,,,,,,,,,,,
2000,JAM,Jamaica,70.944,,,,,,,,,,,,,,,,,,,,,,,,,
2007,SUR,Suriname,68.204,,,,,,,,,,,,,,,,,,,,,,,,,
1989,VEN,Venezuela,71.348,68.906,73.912,12.5,12.5,30.9,,4.779,38.3526034689227,57.8217321475148,3.82566438356253,2.49262420476062,,,,1.695,1.695,1.695,,,,41.6666107177734,,,,-10.8207222312994
2018,CRI,Costa Rica,79.484,76.996,82.083,6,6,8.4,18,5.276,21.5604513152251,68.8671828348808,9.57236584989408,0.934615300864476,9.6,,3.2,2.8939,2.8939,2.8939,97.58654255,99.6999969482422,73.47972844,70.298828125,97.8637924194336,9.01,22.9,1.66130830993416
2015,JAM,Jamaica,72.394,70.798,73.971,12.6,12.6,15,97,6.653,23.2731406903948,70.4459687784102,6.28089053119502,0.354975145947794,16.8,9.35706031792802,9.7,0.4147,0.4147,0.4147,85.84954834,94.9000015258789,42.22122119,87.1258316040039,,8.842,,0.563876019949532
1997,VCT,San Vicente y las Granadinas,70.922,69.015,72.912,13.2,13.2,22.4,,7.098,33.40275559717,59.6903125314479,6.90693187138213,-0.0122502909597325,,,,0.9361,0.9361,0.9361,,75.8460922241211,0.926371957,,,20.471,,3.51783133152716
2006,TUV,Tuvalu,63.928,,,,,,,,,,,,,,,,,,,,,,,,,
2002,URY,Uruguay,75.54,,,,,,,,,,,,,,,,,,,,,,,,,
2020,BHS,Bahamas,72.677,69.102,76.27,7.2,7.2,13.3,77,8.076,20.1664815368359,71.5545862379035,8.27893222526057,0.471994444906908,,,,,,,,100,92.4760204,,,12.867,,-24.1813134485299
2016,ARG,Argentina,76.308,72.933,79.67,6.4,6.4,11,40,7.947,24.5763205280432,64.2036604565357,11.2200190154211,1.05718157762752,16.8,,2.6,4.0013,4.0013,4.0013,95.41770247,99.8495788574219,70.96898082,89.2053070068359,99.1250076293945,8.109,30.3,-3.11006389821465
2010,GTM,Guatemala,70.878,67.55,74.29,16.2,16.2,34.8,123,5.296,39.0636060856538,56.7684508710338,4.16794304331237,1.83655642844003,16.7,28.3414118951755,16.4,,,,65.26596018,84.2757110595703,10.5,55.6324005126953,,3.5,,1.0118948603419
1992,SLV,El Salvador,64.657,59.634,69.713,21.4,21.4,53.7,,6.929,41.6801125246535,55.0189920023673,3.30089547297916,1.65505850095383,,,,,,,,75.3321914672852,0,45.2884292602539,74.1431579589844,7.88,,5.26526451013429
2019,KIR,Kiribati,67.15,65.295,68.782,21.7,21.7,51.4,108,6.252,36.1164993842612,60.2586907703576,3.62480984538115,1.60651238884126,50.8,21.6167598805556,4,,,,45.20830694,90.0328521728516,42.99166167,,,,21.9,-2.12468454999961
2015,AUS,Australia,82.4,80.4,84.5,2.3,2.3,3.9,5,6.6,18.9005638126221,66.1745696773414,14.9248665100365,1.43921665259925,9.3,4.56955742794355,2.5,3.4886,3.4886,3.4886,99.99115238,100,84.56051491,,,6.05,,0.693065822727618
