"Countries, territories and areas",Year,valor
Canada,2003,15
Canada,2004,7
Canada,2005,6
Canada,2006,13
Canada,2007,101
Canada,2008,62
Canada,2009,14
Canada,2010,99
Canada,2011,803
Canada,2012,10
Canada,2013,83
Canada,2014,418
Canada,2015,195
Canada,2016,11
Canada,2017,45
Canada,2018,28
Canada,2019,113
Canada,2020,1
Canada,2021,0
Chile,1974,16806
Chile,1975,8413
Chile,1976,2542
Chile,1977,1062
Chile,1978,15381
Chile,1979,34390
Chile,1980,3844
Chile,1981,6527
Chile,1982,9438
Chile,1983,6752
Chile,1984,4785
Chile,1985,17101
Chile,1986,12563
Chile,1987,2623
Chile,1988,45079
Chile,1989,13008
Chile,1990,1958
Chile,1991,2098
Chile,1992,1
Chile,1993,1
Chile,1994,0
Chile,1995,0
Chile,1996,0
Chile,1997,58
Chile,1998,6
Chile,1999,31
Chile,2000,0
Chile,2001,0
Chile,2002,0
Chile,2003,1
Chile,2004,0
Chile,2005,0
Chile,2006,0
Chile,2007,0
Chile,2008,0
Chile,2009,1
Chile,2010,0
Chile,2011,6
Chile,2012,0
Chile,2013,0
Chile,2014,0
Chile,2015,9
Chile,2016,0
Chile,2017,0
Chile,2018,24
Chile,2019,11
Chile,2020,2
Chile,2021,0
Colombia,1974,25969
Colombia,1975,10706
Colombia,1976,23272
Colombia,1977,21362
Colombia,1978,20446
Colombia,1979,18144
Colombia,1980,9222
Colombia,1981,19612
Colombia,1982,9273
Colombia,1983,13099
Colombia,1984,11849
Colombia,1985,5572
Colombia,1986,5180
Colombia,1987,20620
Colombia,1988,14801
Colombia,1989,12598
Colombia,1990,12520
Colombia,1991,10391
Colombia,1992,7976
Colombia,1993,9105
Colombia,1994,525
Colombia,1995,410
Colombia,1996,160
Colombia,1997,67
Colombia,1998,61
Colombia,1999,44
Colombia,2000,1
Colombia,2001,3
Colombia,2002,139
Colombia,2003,0
Colombia,2004,0
Colombia,2005,0
Colombia,2006,0
Colombia,2007,0
Colombia,2008,0
Colombia,2009,0
Colombia,2010,0
Colombia,2011,6
Colombia,2012,1
Colombia,2013,1
Colombia,2014,0
Colombia,2015,1
Colombia,2016,0
Colombia,2017,0
Colombia,2018,208
Colombia,2019,244
Colombia,2020,1
Colombia,2021,0
Costa Rica,1974,512
Costa Rica,1975,743
Costa Rica,1976,1774
Costa Rica,1977,2054
Costa Rica,1978,361
Costa Rica,1979,6883
Costa Rica,1980,1000
Costa Rica,1981,170
Costa Rica,1982,167
Costa Rica,1983,39
Costa Rica,1984,11
Costa Rica,1985,1
Costa Rica,1986,4534
Costa Rica,1987,4004
Costa Rica,1988,358
Costa Rica,1989,33
Costa Rica,1990,76
Costa Rica,1991,6296
Costa Rica,1992,2361
Costa Rica,1993,273
Costa Rica,1994,0
Costa Rica,1995,35
Costa Rica,1996,24
Costa Rica,1997,26
Costa Rica,1998,27
Costa Rica,1999,23
Costa Rica,2000,0
Costa Rica,2001,0
Costa Rica,2002,0
Costa Rica,2003,1
Costa Rica,2004,0
Costa Rica,2005,1
Costa Rica,2006,
Costa Rica,2007,0
Costa Rica,2008,0
Costa Rica,2009,0
Costa Rica,2010,0
Costa Rica,2011,0
Costa Rica,2012,0
Costa Rica,2013,0
Costa Rica,2014,1
Costa Rica,2015,0
Costa Rica,2016,0
Costa Rica,2017,0
Costa Rica,2018,0
Costa Rica,2019,10
Costa Rica,2020,0
Costa Rica,2021,0
Cuba,1974,13874
Cuba,1975,10585
Cuba,1976,14882
Cuba,1977,25358
Cuba,1978,18751
Cuba,1979,7512
Cuba,1980,3924
Cuba,1981,18387
Cuba,1982,23408
Cuba,1983,3287
Cuba,1984,3315
Cuba,1985,2874
Cuba,1986,3312
Cuba,1987,858
Cuba,1988,121
Cuba,1989,12
Cuba,1990,12
Cuba,1991,17
Cuba,1992,12
Cuba,1993,2
Cuba,1994,0
Cuba,1995,1
Cuba,1996,0
Cuba,1997,0
Cuba,1998,0
Cuba,1999,0
Cuba,2000,0
Cuba,2001,0
Cuba,2002,0
Cuba,2003,0
Cuba,2004,0
Cuba,2005,0
Cuba,2006,0
Cuba,2007,0
Cuba,2008,0
Cuba,2009,0
Cuba,2010,0
Cuba,2011,0
Cuba,2012,0
Cuba,2013,
Cuba,2014,0
Cuba,2015,0
Cuba,2016,0
Cuba,2017,0
Cuba,2018,0
Cuba,2019,0
Cuba,2020,0
Cuba,2021,0
Dominica,1974,171
Dominica,1975,1
Dominica,1976,122
Dominica,1977,85
Dominica,1978,0
Dominica,1979,178
Dominica,1980,0
Dominica,1981,27
Dominica,1982,2
Dominica,1983,1
Dominica,1984,188
Dominica,1985,64
Dominica,1986,45
Dominica,1987,82
Dominica,1988,10
Dominica,1989,9
Dominica,1990,13
Dominica,1991,6
Dominica,1992,0
Dominica,1993,0
Dominica,1994,0
Dominica,1995,0
Dominica,1996,0
Dominica,1997,0
Dominica,1998,0
Dominica,1999,0
Dominica,2000,0
Dominica,2001,0
Dominica,2002,0
Dominica,2003,0
Dominica,2004,0
Dominica,2005,0
Dominica,2006,0
Dominica,2007,0
Dominica,2008,0
Dominica,2009,0
Dominica,2010,0
Dominica,2011,0
Dominica,2012,0
Dominica,2013,0
Dominica,2014,0
Dominica,2015,0
Dominica,2016,0
Dominica,2017,0
Dominica,2018,0
Dominica,2019,0
Dominica,2020,0
Dominica,2021,0
Dominican Republic,1974,4148
Dominican Republic,1975,4224
Dominican Republic,1976,7225
Dominican Republic,1977,5707
Dominican Republic,1978,5796
Dominican Republic,1979,8944
Dominican Republic,1980,9760
Dominican Republic,1981,3410
Dominican Republic,1982,3671
Dominican Republic,1983,2960
Dominican Republic,1984,4429
Dominican Republic,1985,4417
Dominican Republic,1986,501
Dominican Republic,1987,499
Dominican Republic,1988,692
Dominican Republic,1989,1505
Dominican Republic,1990,3477
Dominican Republic,1991,7512
Dominican Republic,1992,7650
Dominican Republic,1993,4637
Dominican Republic,1994,3
Dominican Republic,1995,0
Dominican Republic,1996,0
Dominican Republic,1997,1
Dominican Republic,1998,14
Dominican Republic,1999,274
Dominican Republic,2000,253
Dominican Republic,2001,113
Dominican Republic,2002,0
Dominican Republic,2003,0
Dominican Republic,2004,0
Dominican Republic,2005,0
Dominican Republic,2006,0
Dominican Republic,2007,0
Dominican Republic,2008,0
Dominican Republic,2009,0
Dominican Republic,2010,0
Dominican Republic,2011,2
Dominican Republic,2012,0
Dominican Republic,2013,0
Dominican Republic,2014,0
Dominican Republic,2015,0
Dominican Republic,2016,0
Dominican Republic,2017,0
Dominican Republic,2018,0
Dominican Republic,2019,0
Dominican Republic,2020,0
Dominican Republic,2021,0
Ecuador,1974,3906
Ecuador,1975,241
Ecuador,1976,7009
Ecuador,1977,2438
Ecuador,1978,870
Ecuador,1979,4206
Ecuador,1980,2722
Ecuador,1981,4678
Ecuador,1982,1647
Ecuador,1983,2556
Ecuador,1984,6979
Ecuador,1985,1183
Ecuador,1986,839
Ecuador,1987,1537
Ecuador,1988,8004
Ecuador,1989,3649
Ecuador,1990,1646
Ecuador,1991,1585
Ecuador,1992,4356
Ecuador,1993,3627
Ecuador,1994,3668
Ecuador,1995,919
Ecuador,1996,42
Ecuador,1997,0
Ecuador,1998,0
Ecuador,1999,0
Ecuador,2000,0
Ecuador,2001,2
Ecuador,2002,0
Ecuador,2003,0
Ecuador,2004,0
Ecuador,2005,0
Ecuador,2006,0
Ecuador,2007,0
Ecuador,2008,1
Ecuador,2009,0
Ecuador,2010,0
Ecuador,2011,257
Ecuador,2012,72
Ecuador,2013,0
Ecuador,2014,0
Ecuador,2015,0
Ecuador,2016,1
Ecuador,2017,0
Ecuador,2018,19
Ecuador,2019,0
Ecuador,2020,0
Ecuador,2021,0
El Salvador,1974,467
El Salvador,1975,511
El Salvador,1976,7227
El Salvador,1977,7567
El Salvador,1978,1621
El Salvador,1979,10371
El Salvador,1980,2315
El Salvador,1981,12554
El Salvador,1982,3664
El Salvador,1983,2407
El Salvador,1984,4775
El Salvador,1985,1413
El Salvador,1986,278
El Salvador,1987,405
El Salvador,1988,787
El Salvador,1989,0
El Salvador,1990,0
El Salvador,1991,0
El Salvador,1992,509
El Salvador,1993,38
El Salvador,1994,0
El Salvador,1995,0
El Salvador,1996,1
El Salvador,1997,0
El Salvador,1998,0
El Salvador,1999,0
El Salvador,2000,0
El Salvador,2001,2
El Salvador,2002,0
El Salvador,2003,0
El Salvador,2004,0
El Salvador,2005,0
El Salvador,2006,0
El Salvador,2007,0
El Salvador,2008,0
El Salvador,2009,0
El Salvador,2010,0
El Salvador,2011,0
El Salvador,2012,0
El Salvador,2013,0
El Salvador,2014,0
El Salvador,2015,
El Salvador,2016,0
El Salvador,2017,0
El Salvador,2018,0
El Salvador,2019,0
El Salvador,2020,0
El Salvador,2021,0
Fiji,1974,1911
Fiji,1975,1026
Fiji,1976,212
Fiji,1977,2384
Fiji,1978,441
Fiji,1979,1621
Fiji,1980,913
Fiji,1981,1003
Fiji,1982,902
Fiji,1983,313
Fiji,1984,827
Fiji,1985,152
Fiji,1986,385
Fiji,1987,1075
Fiji,1988,610
Fiji,1989,53
Fiji,1990,32
Fiji,1991,
Fiji,1992,969
Fiji,1993,425
Fiji,1994,39
Fiji,1995,414
Fiji,1996,39
Fiji,1997,828
Fiji,1998,
Fiji,1999,
Fiji,2000,
Fiji,2001,17
Fiji,2002,304
Fiji,2003,305
Fiji,2004,37
Fiji,2005,
Fiji,2006,136
Fiji,2007,0
Fiji,2008,0
Fiji,2009,1
Fiji,2010,0
Fiji,2011,
Fiji,2012,0
Fiji,2013,
Fiji,2014,
Fiji,2015,
Fiji,2016,5
Fiji,2017,
Fiji,2018,0
Fiji,2019,28
Fiji,2020,
Fiji,2021,
Guatemala,1974,926
Guatemala,1975,3007
Guatemala,1976,3791
Guatemala,1977,2682
Guatemala,1978,2178
Guatemala,1979,3351
Guatemala,1980,2703
Guatemala,1981,3472
Guatemala,1982,3992
Guatemala,1983,2762
Guatemala,1984,3072
Guatemala,1985,2272
Guatemala,1986,1650
Guatemala,1987,400
Guatemala,1988,182
Guatemala,1989,2413
Guatemala,1990,8802
Guatemala,1991,209
Guatemala,1992,97
Guatemala,1993,17
Guatemala,1994,204
Guatemala,1995,23
Guatemala,1996,1
Guatemala,1997,8
Guatemala,1998,1
Guatemala,1999,0
Guatemala,2000,0
Guatemala,2001,0
Guatemala,2002,0
Guatemala,2003,0
Guatemala,2004,0
Guatemala,2005,0
Guatemala,2006,0
Guatemala,2007,0
Guatemala,2008,0
Guatemala,2009,0
Guatemala,2010,0
Guatemala,2011,0
Guatemala,2012,0
Guatemala,2013,0
Guatemala,2014,0
Guatemala,2015,0
Guatemala,2016,0
Guatemala,2017,0
Guatemala,2018,1
Guatemala,2019,0
Guatemala,2020,0
Guatemala,2021,0
Guyana,1974,314
Guyana,1975,58
Guyana,1976,327
Guyana,1977,240
Guyana,1978,11
Guyana,1979,910
Guyana,1980,464
Guyana,1981,7
Guyana,1982,41
Guyana,1983,20
Guyana,1984,294
Guyana,1985,87
Guyana,1986,15
Guyana,1987,22
Guyana,1988,917
Guyana,1989,11
Guyana,1990,1
Guyana,1991,12
Guyana,1992,0
Guyana,1993,0
Guyana,1994,0
Guyana,1995,0
Guyana,1996,0
Guyana,1997,0
Guyana,1998,0
Guyana,1999,0
Guyana,2000,0
Guyana,2001,0
Guyana,2002,0
Guyana,2003,0
Guyana,2004,0
Guyana,2005,0
Guyana,2006,0
Guyana,2007,0
Guyana,2008,0
Guyana,2009,0
Guyana,2010,0
Guyana,2011,0
Guyana,2012,0
Guyana,2013,0
Guyana,2014,0
Guyana,2015,0
Guyana,2016,0
Guyana,2017,0
Guyana,2018,0
Guyana,2019,0
Guyana,2020,0
Guyana,2021,0
Honduras,1974,2346
Honduras,1975,3098
Honduras,1976,4206
Honduras,1977,2538
Honduras,1978,5219
Honduras,1979,4895
Honduras,1980,4188
Honduras,1981,5857
Honduras,1982,2446
Honduras,1983,1168
Honduras,1984,5028
Honduras,1985,6476
Honduras,1986,603
Honduras,1987,1437
Honduras,1988,1155
Honduras,1989,6353
Honduras,1990,8360
Honduras,1991,95
Honduras,1992,58
Honduras,1993,13
Honduras,1994,3
Honduras,1995,0
Honduras,1996,4
Honduras,1997,5
Honduras,1998,0
Honduras,1999,0
Honduras,2000,0
Honduras,2001,0
Honduras,2002,0
Honduras,2003,0
Honduras,2004,0
Honduras,2005,0
Honduras,2006,0
Honduras,2007,0
Honduras,2008,0
Honduras,2009,0
Honduras,2010,0
Honduras,2011,0
Honduras,2012,0
Honduras,2013,0
Honduras,2014,0
Honduras,2015,0
Honduras,2016,0
Honduras,2017,0
Honduras,2018,0
Honduras,2019,0
Honduras,2020,0
Honduras,2021,0
Jamaica,1974,595
Jamaica,1975,705
Jamaica,1976,1206
Jamaica,1977,49
Jamaica,1978,845
Jamaica,1979,82
Jamaica,1980,36
Jamaica,1981,5266
Jamaica,1982,2815
Jamaica,1983,1164
Jamaica,1984,236
Jamaica,1985,67
Jamaica,1986,30
Jamaica,1987,37
Jamaica,1988,30
Jamaica,1989,5726
Jamaica,1990,3651
Jamaica,1991,308
Jamaica,1992,0
Jamaica,1993,0
Jamaica,1994,0
Jamaica,1995,15
Jamaica,1996,4
Jamaica,1997,0
Jamaica,1998,2
Jamaica,1999,0
Jamaica,2000,0
Jamaica,2001,0
Jamaica,2002,0
Jamaica,2003,0
Jamaica,2004,0
Jamaica,2005,0
Jamaica,2006,0
Jamaica,2007,0
Jamaica,2008,2
Jamaica,2009,0
Jamaica,2010,0
Jamaica,2011,1
Jamaica,2012,0
Jamaica,2013,0
Jamaica,2014,0
Jamaica,2015,0
Jamaica,2016,0
Jamaica,2017,0
Jamaica,2018,0
Jamaica,2019,0
Jamaica,2020,0
Jamaica,2021,0
Kiribati,1974,9212
Kiribati,1975,0
Kiribati,1976,3
Kiribati,1977,78
Kiribati,1978,2683
Kiribati,1979,0
Kiribati,1980,170
Kiribati,1981,70
Kiribati,1982,11
Kiribati,1983,0
Kiribati,1984,1417
Kiribati,1985,2015
Kiribati,1986,2
Kiribati,1987,22
Kiribati,1988,264
Kiribati,1989,1612
Kiribati,1990,30
Kiribati,1991,8
Kiribati,1992,4357
Kiribati,1993,114
Kiribati,1994,292
Kiribati,1995,4
Kiribati,1996,13
Kiribati,1997,25
Kiribati,1998,355
Kiribati,1999,2
Kiribati,2000,0
Kiribati,2001,0
Kiribati,2002,0
Kiribati,2003,
Kiribati,2004,0
Kiribati,2005,0
Kiribati,2006,
Kiribati,2007,0
Kiribati,2008,0
Kiribati,2009,0
Kiribati,2010,0
Kiribati,2011,0
Kiribati,2012,0
Kiribati,2013,0
Kiribati,2014,0
Kiribati,2015,
Kiribati,2016,
Kiribati,2017,0
Kiribati,2018,0
Kiribati,2019,3
Kiribati,2020,0
Kiribati,2021,1
Marshall Islands,1974,0
Marshall Islands,1975,0
Marshall Islands,1976,0
Marshall Islands,1977,0
Marshall Islands,1978,0
Marshall Islands,1979,0
Marshall Islands,1980,0
Marshall Islands,1981,0
Marshall Islands,1982,0
Marshall Islands,1983,0
Marshall Islands,1984,0
Marshall Islands,1985,4
Marshall Islands,1986,1
Marshall Islands,1987,0
Marshall Islands,1988,
Marshall Islands,1989,13
Marshall Islands,1990,14
Marshall Islands,1991,19
Marshall Islands,1992,10
Marshall Islands,1993,9
Marshall Islands,1994,0
Marshall Islands,1995,
Marshall Islands,1996,0
Marshall Islands,1997,0
Marshall Islands,1998,0
Marshall Islands,1999,0
Marshall Islands,2000,0
Marshall Islands,2001,0
Marshall Islands,2002,0
Marshall Islands,2003,1127
Marshall Islands,2004,0
Marshall Islands,2005,0
Marshall Islands,2006,0
Marshall Islands,2007,0
Marshall Islands,2008,
Marshall Islands,2009,0
Marshall Islands,2010,0
Marshall Islands,2011,0
Marshall Islands,2012,0
Marshall Islands,2013,
Marshall Islands,2014,
Marshall Islands,2015,
Marshall Islands,2016,
Marshall Islands,2017,
Marshall Islands,2018,
Marshall Islands,2019,
Marshall Islands,2020,
Marshall Islands,2021,0
Mexico,1974,2325
Mexico,1975,1530
Mexico,1976,23722
Mexico,1977,24035
Mexico,1978,3078
Mexico,1979,10691
Mexico,1980,29730
Mexico,1981,11136
Mexico,1982,6364
Mexico,1983,3368
Mexico,1984,5158
Mexico,1985,23826
Mexico,1986,9824
Mexico,1987,2776
Mexico,1988,3915
Mexico,1989,20381
Mexico,1990,68782
Mexico,1991,5077
Mexico,1992,533
Mexico,1993,172
Mexico,1994,128
Mexico,1995,244
Mexico,1996,2
Mexico,1997,0
Mexico,1998,0
Mexico,1999,0
Mexico,2000,30
Mexico,2001,3
Mexico,2002,0
Mexico,2003,44
Mexico,2004,64
Mexico,2005,6
Mexico,2006,23
Mexico,2007,0
Mexico,2008,0
Mexico,2009,0
Mexico,2010,0
Mexico,2011,3
Mexico,2012,0
Mexico,2013,0
Mexico,2014,3
Mexico,2015,0
Mexico,2016,0
Mexico,2017,0
Mexico,2018,5
Mexico,2019,0
Mexico,2020,196
Mexico,2021,0
Micronesia (Federated States of),1974,
Micronesia (Federated States of),1975,
Micronesia (Federated States of),1976,
Micronesia (Federated States of),1977,
Micronesia (Federated States of),1978,
Micronesia (Federated States of),1979,
Micronesia (Federated States of),1980,
Micronesia (Federated States of),1981,
Micronesia (Federated States of),1982,
Micronesia (Federated States of),1983,
Micronesia (Federated States of),1984,
Micronesia (Federated States of),1985,
Micronesia (Federated States of),1986,
Micronesia (Federated States of),1987,1
Micronesia (Federated States of),1988,0
Micronesia (Federated States of),1989,0
Micronesia (Federated States of),1990,1
Micronesia (Federated States of),1991,0
Micronesia (Federated States of),1992,41
Micronesia (Federated States of),1993,0
Micronesia (Federated States of),1994,930
Micronesia (Federated States of),1995,0
Micronesia (Federated States of),1996,
Micronesia (Federated States of),1997,0
Micronesia (Federated States of),1998,0
Micronesia (Federated States of),1999,0
Micronesia (Federated States of),2000,0
Micronesia (Federated States of),2001,0
Micronesia (Federated States of),2002,
Micronesia (Federated States of),2003,0
Micronesia (Federated States of),2004,0
Micronesia (Federated States of),2005,0
Micronesia (Federated States of),2006,0
Micronesia (Federated States of),2007,0
Micronesia (Federated States of),2008,
Micronesia (Federated States of),2009,0
Micronesia (Federated States of),2010,
Micronesia (Federated States of),2011,0
Micronesia (Federated States of),2012,0
Micronesia (Federated States of),2013,0
Micronesia (Federated States of),2014,140
Micronesia (Federated States of),2015,0
Micronesia (Federated States of),2016,0
Micronesia (Federated States of),2017,0
Micronesia (Federated States of),2018,0
Micronesia (Federated States of),2019,0
Micronesia (Federated States of),2020,
Micronesia (Federated States of),2021,
Nauru,1974,
Nauru,1975,
Nauru,1976,
Nauru,1977,80
Nauru,1978,33
Nauru,1979,0
Nauru,1980,10
Nauru,1981,0
Nauru,1982,1
Nauru,1983,
Nauru,1984,
Nauru,1985,
Nauru,1986,1
Nauru,1987,0
Nauru,1988,
Nauru,1989,0
Nauru,1990,300
Nauru,1991,
Nauru,1992,
Nauru,1993,
Nauru,1994,
Nauru,1995,0
Nauru,1996,
Nauru,1997,58
Nauru,1998,
Nauru,1999,1
Nauru,2000,0
Nauru,2001,0
Nauru,2002,0
Nauru,2003,
Nauru,2004,0
Nauru,2005,0
Nauru,2006,0
Nauru,2007,0
Nauru,2008,0
Nauru,2009,0
Nauru,2010,
Nauru,2011,0
Nauru,2012,11
Nauru,2013,
Nauru,2014,
Nauru,2015,
Nauru,2016,0
Nauru,2017,
Nauru,2018,
Nauru,2019,0
Nauru,2020,
Nauru,2021,
New Zealand,1974,
New Zealand,1975,
New Zealand,1976,0
New Zealand,1977,0
New Zealand,1978,
New Zealand,1979,
New Zealand,1980,
New Zealand,1981,
New Zealand,1982,
New Zealand,1983,
New Zealand,1984,
New Zealand,1985,
New Zealand,1986,
New Zealand,1987,
New Zealand,1988,
New Zealand,1989,0
New Zealand,1990,
New Zealand,1991,9239
New Zealand,1992,
New Zealand,1993,69
New Zealand,1994,33
New Zealand,1995,
New Zealand,1996,
New Zealand,1997,2041
New Zealand,1998,164
New Zealand,1999,106
New Zealand,2000,65
New Zealand,2001,65
New Zealand,2002,21
New Zealand,2003,66
New Zealand,2004,33
New Zealand,2005,20
New Zealand,2006,20
New Zealand,2007,25
New Zealand,2008,
New Zealand,2009,198
New Zealand,2010,43
New Zealand,2011,597
New Zealand,2012,68
New Zealand,2013,8
New Zealand,2014,280
New Zealand,2015,10
New Zealand,2016,103
New Zealand,2017,15
New Zealand,2018,30
New Zealand,2019,2189
New Zealand,2020,7
New Zealand,2021,0
Nicaragua,1974,841
Nicaragua,1975,1934
